iteration	evaluations	runtime[s]	MRR-any[MAX]
2	4	1.415	0.9691358024691358
3	8	2.778	0.9691358024691358
4	12	4.231	1.0
5	16	5.638	1.0
6	20	7.057	1.0
7	24	8.493	1.0
8	28	9.931	1.0
9	32	11.427	1.0
10	36	12.772	1.0
11	40	14.105	1.0
12	44	15.451	1.0
13	48	16.795	1.0
14	52	18.16	1.0
15	56	19.508	1.0
16	60	20.845	1.0
17	64	22.198	1.0
18	68	23.524	1.0
19	72	24.868	1.0
20	76	26.238	1.0
21	80	27.615	1.0
22	84	29.037	1.0
23	88	30.498	1.0
24	92	31.897	1.0
25	96	33.297	1.0
26	100	34.772	1.0
27	104	36.137	1.0
28	108	37.503	1.0
29	112	38.903	1.0
30	116	40.301	1.0
31	120	41.794	1.0
32	121	42.172	1.0
